tree,benchmark,run,unit,successes,episodes,success_rate,source
starVLA,libero,ervla_d_cam3d_8gpu,libero_goal,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_cam3d_8gpu,libero_object,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_cam3d_8gpu,libero_spatial,97,100,0.97000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_cam3d_rand_8gpu,libero_10,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_cam3d_rand_8gpu,libero_goal,96,100,0.96000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_cam3d_rand_8gpu,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_cam3d_rand_8gpu,libero_spatial,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_cam3d_rand_8gpu/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_batchdrop,libero_10,92,100,0.92000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_batchdrop,libero_goal,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_batchdrop,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_batchdrop,libero_spatial,95,100,0.95000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_state_batchdrop,libero_10,91,100,0.91000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_state_batchdrop,libero_goal,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_state_batchdrop,libero_object,100,100,1.00000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_d_ground_state_batchdrop,libero_spatial,99,100,0.99000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_d_ground_state_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_e_staged_batchdrop,libero_10,94,100,0.94000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json
starVLA,libero,ervla_e_staged_batchdrop,libero_goal,98,100,0.98000000,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_e_staged_batchdrop/results/libero/overall_results.json
