tree,run,arm,seed,benchmark,result_dir,suite_or_task,tag,n_episodes,successes,success_rate,se,checkpoint_step,source_path,is_full_protocol
starVLA,ervla_f_decoder_frozen,other,42,libero,libero,libero_spatial,,100,94,0.94000000,0.02374868,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_f_decoder_frozen/results/libero/overall_results.json,False
starVLA,ervla_g_cam3d_cot05,CoT-trace,42,libero,libero,libero_10,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json,False
starVLA,ervla_g_cam3d_cot05,CoT-trace,42,libero,libero,libero_goal,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json,False
starVLA,ervla_g_cam3d_cot05,CoT-trace,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json,False
starVLA,ervla_g_cam3d_cot05,CoT-trace,42,libero,libero,libero_spatial,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cam3d_cot05/results/libero/overall_results.json,False
starVLA,ervla_g_cross_only,other,42,libero,libero,libero_10,,100,96,0.96000000,0.01959592,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json,False
starVLA,ervla_g_cross_only,other,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json,False
starVLA,ervla_g_cross_only,other,42,libero,libero,libero_object,,100,96,0.96000000,0.01959592,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json,False
starVLA,ervla_g_cross_only,other,42,libero,libero,libero_spatial,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_g_cross_only/results/libero/overall_results.json,False
starVLA,ervla_h_enc_choice_cam3d,other,42,libero,libero,libero_10,,100,91,0.91000000,0.02861818,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_h_enc_choice_cam3d,other,42,libero,libero,libero_goal,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_h_enc_choice_cam3d,other,42,libero,libero,libero_object,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_h_enc_choice_cam3d,other,42,libero,libero,libero_spatial,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_h_enc_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_i_dec_choice_cam3d,other,42,libero,libero,libero_10,,100,94,0.94000000,0.02374868,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_i_dec_choice_cam3d,other,42,libero,libero,libero_goal,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_i_dec_choice_cam3d,other,42,libero,libero,libero_object,,100,99,0.99000000,0.00994987,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_i_dec_choice_cam3d,other,42,libero,libero,libero_spatial,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_i_dec_choice_cam3d/results/libero/overall_results.json,False
starVLA,ervla_j_dec_choice_staged_cam3d,other,42,libero,libero,libero_10,,100,92,0.92000000,0.02712932,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json,False
starVLA,ervla_j_dec_choice_staged_cam3d,other,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json,False
starVLA,ervla_j_dec_choice_staged_cam3d,other,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json,False
starVLA,ervla_j_dec_choice_staged_cam3d,other,42,libero,libero,libero_spatial,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_j_dec_choice_staged_cam3d/results/libero/overall_results.json,False
starVLA,ervla_k2_pi_cam3d_cot05_pifix_latent32,CoT-trace,42,libero,libero,libero_10,,100,90,0.90000000,0.03000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json,False
starVLA,ervla_k2_pi_cam3d_cot05_pifix_latent32,CoT-trace,42,libero,libero,libero_goal,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json,False
starVLA,ervla_k2_pi_cam3d_cot05_pifix_latent32,CoT-trace,42,libero,libero,libero_object,,100,100,1.00000000,0.00000000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json,False
starVLA,ervla_k2_pi_cam3d_cot05_pifix_latent32,CoT-trace,42,libero,libero,libero_spatial,,100,97,0.97000000,0.01705872,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_latent32/results/libero/overall_results.json,False
starVLA,ervla_k2_pi_cam3d_cot05_pifix_nolatent,CoT-trace,42,libero,libero,libero_10,,100,98,0.98000000,0.01400000,,/e/project1/m3/blank4/code/starVLA/playground/Checkpoints/ervla_k2_pi_cam3d_cot05_pifix_nolatent/results/libero/overall_results.json,False
